visita_id,nombre,ap_paterno,ap_materno,parentesco,edad,ocupacion
269,Bess,Le Sieur,Yewdall,FAMILIAR,51,EMPLEADO
270,Jacquelynn,Boissier,Drawmer,NINGUNO,29,EMPLEADO
277,Jordan,Barukh,Snodden,FAMILIAR,49,EMPLEADO
280,Wally,Fulstow,Khomishin,NINGUNO,55,EMPLEADO
294,Evangeline,Anstead,Legon,NINGUNO,41,EMPLEADO
304,Con,Baudinelli,Matthewman,NINGUNO,10,ESTUDIANTE
307,Dane,Akam,O\' Reagan,FAMILIAR,49,EMPLEADO
308,Jessey,Potell,Ulrik,FAMILIAR,65,EMPLEADO
309,Alfi,Lieber,Laughlan,NINGUNO,36,EMPLEADO
311,Nata,Cherm,Petras,FAMILIAR,38,EMPLEADO
338,Ric,Matas,Jolley,NINGUNO,34,EMPLEADO
341,Rafi,Northedge,Botley,NINGUNO,30,EMPLEADO
343,Dougy,Lavell,Dougal,FAMILIAR,28,EMPLEADO
348,Arluene,Scott,Biddles,FAMILIAR,63,EMPLEADO
350,Kelbee,Murrthum,Chalcot,FAMILIAR,84,SIN ESPECIFICAR
357,Carlye,Dawid,Dronsfield,FAMILIAR,54,EMPLEADO
358,Windham,Blackborow,Rikel,NINGUNO,51,EMPLEADO
361,Jordan,Cubley,Tanfield,NINGUNO,20,ESTUDIANTE
361,Hugues,Staig,Wloch,FAMILIAR,72,EMPLEADO
363,Cris,Lukianov,Denecamp,NINGUNO,42,EMPLEADO
366,Boonie,Dannehl,Burrass,NINGUNO,71,EMPLEADO
374,Stoddard,Brower,Brindley,FAMILIAR,62,EMPLEADO
375,Georgette,Pooly,Mayhead,FAMILIAR,69,EMPLEADO
377,Sabina,Cawsy,Cock,FAMILIAR,67,EMPLEADO
383,Joelly,Mongeot,Schoroder,FAMILIAR,34,EMPLEADO
384,Lorrie,Candlin,Ethridge,NINGUNO,77,EMPLEADO
385,Linnell,Geldart,Baggett,NINGUNO,30,EMPLEADO
386,Reggi,Lavall,Meredith,FAMILIAR,45,EMPLEADO
389,Andras,Bolt,Fancutt,FAMILIAR,80,SIN ESPECIFICAR
392,Doreen,Colbridge,Bazylets,FAMILIAR,72,EMPLEADO
396,Feliza,Slainey,Espinha,NINGUNO,53,EMPLEADO
412,Gavra,Mullins,Rillett,FAMILIAR,35,EMPLEADO
412,Gale,Hallawell,Rosita,FAMILIAR,64,EMPLEADO
412,Marna,Merrilees,Aldersey,NINGUNO,82,SIN ESPECIFICAR
420,Hedwiga,Clair,Pettyfar,FAMILIAR,11,SIN ESPECIFICAR
424,Kikelia,Reicharz,Pickavance,NINGUNO,49,EMPLEADO
425,Elisha,Vankov,Murthwaite,NINGUNO,88,SIN ESPECIFICAR
432,Cordelia,Greally,Sturm,FAMILIAR,78,EMPLEADO
434,Kaitlyn,Caddy,Jedras,FAMILIAR,14,ESTUDIANTE
440,Stephan,Larner,Emmins,FAMILIAR,61,EMPLEADO
442,Nealy,Gifkins,Marchment,FAMILIAR,15,ESTUDIANTE
452,Dorthea,Greening,Keasley,NINGUNO,56,EMPLEADO
456,Kippie,Throughton,Yarnell,FAMILIAR,64,EMPLEADO
461,Anders,Goves,Conway,NINGUNO,49,EMPLEADO
466,Lemmy,McGarrell,Rundall,FAMILIAR,35,EMPLEADO
469,Marius,Streeter,Towsie,NINGUNO,38,EMPLEADO
469,Selie,Garland,Newiss,NINGUNO,40,EMPLEADO
479,Kerrin,Pink,Chamley,NINGUNO,57,EMPLEADO
482,Amalie,Causon,Burgwyn,NINGUNO,61,EMPLEADO
485,Rees,Tatters,Fernely,FAMILIAR,22,SIN ESPECIFICAR
487,Spence,Jackalin,Aicheson,NINGUNO,58,EMPLEADO
492,Bettine,Hewes,Hayto,NINGUNO,47,EMPLEADO
493,Danni,Lamperd,Sherwin,NINGUNO,66,EMPLEADO
494,Son,Broggelli,Chatto,NINGUNO,12,ESTUDIANTE
495,Lenora,Glowach,Cogger,FAMILIAR,22,ESTUDIANTE
496,Diane-marie,Lillegard,Fernando,FAMILIAR,24,SIN ESPECIFICAR
500,Xenos,Noe,Walch,NINGUNO,46,EMPLEADO
503,Devy,Fillon,Brown,FAMILIAR,58,EMPLEADO
508,Florry,De Maria,Dackombe,FAMILIAR,25,SIN ESPECIFICAR
526,Hobart,Kerford,Diboll,FAMILIAR,61,EMPLEADO
534,Sullivan,Champ,Longrigg,FAMILIAR,70,EMPLEADO
538,Winn,Brizland,MacCroary,FAMILIAR,87,SIN ESPECIFICAR
551,Gilda,Grennan,Arnely,FAMILIAR,59,EMPLEADO
553,Kathrine,Gerred,Cocking,FAMILIAR,54,EMPLEADO
556,Peta,Gutowski,Shildrick,FAMILIAR,31,EMPLEADO
557,Connie,Odgaard,Kopta,NINGUNO,49,EMPLEADO
563,Gretal,Rimington,Cristobal,NINGUNO,38,EMPLEADO
571,Dorry,Mallows,Gallego,NINGUNO,58,EMPLEADO
575,Lorin,McCarrick,Whetton,FAMILIAR,84,SIN ESPECIFICAR
577,Anett,Serginson,Renshaw,NINGUNO,74,EMPLEADO
579,Ariel,Swannick,Pulman,FAMILIAR,10,SIN ESPECIFICAR
579,Haily,Canto,Trunks,NINGUNO,71,EMPLEADO
581,Lexie,Birdsall,Watting,NINGUNO,73,EMPLEADO
588,Christyna,Rablin,Senecaut,FAMILIAR,10,SIN ESPECIFICAR
588,Bo,Goligher,Egel,NINGUNO,56,EMPLEADO
590,Wilhelmine,Dymott,Ivanyushkin,NINGUNO,86,SIN ESPECIFICAR
598,Morgan,Whistan,Gordon-Giles,FAMILIAR,54,EMPLEADO
605,Mariam,Haliburn,Jurca,FAMILIAR,71,EMPLEADO
611,Maurita,Kilduff,Menichi,FAMILIAR,48,EMPLEADO
619,Meg,De la Perrelle,Mussalli,FAMILIAR,69,EMPLEADO
621,Cesare,Neames,Weddup,NINGUNO,70,EMPLEADO
624,Pietra,Harmant,Myhill,NINGUNO,36,EMPLEADO
626,Bradan,Priestland,Tottman,FAMILIAR,15,ESTUDIANTE
630,Elwood,Quinsee,Sommersett,FAMILIAR,77,EMPLEADO
641,Tuck,Bartkiewicz,Mathelon,FAMILIAR,83,SIN ESPECIFICAR
658,Toma,Found,Bontein,NINGUNO,79,SIN ESPECIFICAR
666,Vern,Hardwick,Chinnery,FAMILIAR,35,EMPLEADO
679,Shelly,Hobbing,Rippen,FAMILIAR,61,EMPLEADO
682,Ninette,Maffioletti,Jossel,FAMILIAR,61,EMPLEADO
683,Valeda,Tredger,Oehm,FAMILIAR,70,EMPLEADO
688,Eula,Farbrace,Gladtbach,NINGUNO,32,EMPLEADO
689,Ceciley,Toffler,Morfield,FAMILIAR,82,SIN ESPECIFICAR
694,Shena,Terbrug,Whitlam,NINGUNO,36,EMPLEADO
698,Jacinthe,Aspin,Ghost,FAMILIAR,11,SIN ESPECIFICAR
703,Pattie,Ales,Bradman,FAMILIAR,34,EMPLEADO
704,Ethelred,Kopfen,Oguz,FAMILIAR,78,SIN ESPECIFICAR
745,Tamarah,Bosden,Vanichev,NINGUNO,59,EMPLEADO
749,Damita,Binne,Archbald,FAMILIAR,54,EMPLEADO
751,Royce,Pennone,McIsaac,FAMILIAR,50,EMPLEADO
758,Gae,Ducker,Kirby,FAMILIAR,49,EMPLEADO
761,Georgi,Kitt,Riha,NINGUNO,28,EMPLEADO
761,Nadia,McKoy,Roizin,FAMILIAR,46,EMPLEADO
766,Dolli,Farnie,Jandourek,NINGUNO,65,EMPLEADO
767,Magnum,Berthome,Snoday,FAMILIAR,20,SIN ESPECIFICAR
768,Cally,Portal,Armstead,NINGUNO,14,ESTUDIANTE
770,Anstice,Halloran,Purple,FAMILIAR,63,EMPLEADO
770,Diarmid,Donisi,Moral,FAMILIAR,70,EMPLEADO
775,Farleigh,Teresi,Dakers,FAMILIAR,28,EMPLEADO
781,Osbourn,Coytes,Crambie,NINGUNO,84,SIN ESPECIFICAR
784,Anallise,Studeart,Wandrack,NINGUNO,22,SIN ESPECIFICAR
789,Errol,Farlham,Riall,FAMILIAR,38,EMPLEADO
791,Chaunce,Rooksby,McCook,FAMILIAR,21,SIN ESPECIFICAR
794,Ros,Kermon,Squibbes,NINGUNO,32,EMPLEADO
805,Holden,Pellew,Levensky,FAMILIAR,20,SIN ESPECIFICAR
805,Hartwell,Jammes,Fanton,FAMILIAR,78,EMPLEADO
807,Georgetta,Raubenheim,Ricardin,FAMILIAR,65,EMPLEADO
819,Ethelda,Doble,Burrage,NINGUNO,90,SIN ESPECIFICAR
834,Marlo,Cassedy,Faulkes,FAMILIAR,75,EMPLEADO
834,Suzann,Josuweit,Lynde,NINGUNO,82,SIN ESPECIFICAR
837,Kai,Adanet,Christophe,FAMILIAR,31,EMPLEADO
837,Camella,Duffyn,Goodfellow,FAMILIAR,80,SIN ESPECIFICAR
838,Becca,Salaman,Pagel,NINGUNO,55,EMPLEADO
864,Colman,Elnough,Gresswell,FAMILIAR,47,EMPLEADO
866,Janeen,Tuttiett,Tyson,FAMILIAR,29,EMPLEADO
867,Joey,Spedroni,Kinneir,FAMILIAR,58,EMPLEADO
869,Frans,Hales,Pheazey,NINGUNO,27,SIN ESPECIFICAR
875,Jobie,Hunnable,Seeking,NINGUNO,46,EMPLEADO
876,Haleigh,Wadge,Vick,FAMILIAR,53,EMPLEADO
882,Virgil,Kryszka,Demoge,NINGUNO,21,SIN ESPECIFICAR
885,Edith,Thynn,Tidbald,NINGUNO,11,SIN ESPECIFICAR
885,Syman,Franceschielli,Iacovo,FAMILIAR,77,EMPLEADO
892,Danyette,Gaiford,Goodlatt,FAMILIAR,29,EMPLEADO
897,Wendi,Petrowsky,McGall,NINGUNO,90,SIN ESPECIFICAR
903,Albert,Fasey,Killingbeck,NINGUNO,32,EMPLEADO
906,Corinna,Ackerman,Walework,NINGUNO,80,SIN ESPECIFICAR
907,Lesya,Stove,Keelin,FAMILIAR,39,EMPLEADO
908,Sumner,Banke,McBoyle,NINGUNO,69,EMPLEADO
909,Mathilde,Beyn,Speers,NINGUNO,77,EMPLEADO
913,Moe,Gehricke,Garbar,FAMILIAR,84,SIN ESPECIFICAR
916,Sandor,Dickinson,Checo,FAMILIAR,56,EMPLEADO
916,Elizabet,Beard,Biesterfeld,FAMILIAR,70,EMPLEADO
918,Ivar,Beacock,Kerwick,FAMILIAR,75,EMPLEADO
922,Anton,Tommeo,Fetherston,FAMILIAR,61,EMPLEADO
923,Lona,Gemmill,Hadley,FAMILIAR,57,EMPLEADO
925,Jerry,Flemmich,Lorie,FAMILIAR,35,EMPLEADO
929,Demetria,Styan,Revie,NINGUNO,43,EMPLEADO
930,Kirsteni,Domenget,Killbey,NINGUNO,62,EMPLEADO
933,Aindrea,L\'Hommeau,Winders,FAMILIAR,56,EMPLEADO
933,Olia,Bakes,Tinkham,NINGUNO,88,SIN ESPECIFICAR
940,Mary,Playden,Mosdell,NINGUNO,13,ESTUDIANTE
944,Ola,Woolard,Dwerryhouse,FAMILIAR,83,SIN ESPECIFICAR
947,Scott,Merle,Nealon,NINGUNO,72,EMPLEADO
950,Blithe,Campsall,Call,FAMILIAR,55,EMPLEADO
951,Tammie,Jime,Ledekker,NINGUNO,40,EMPLEADO
963,Vincenty,Wolfers,Broader,FAMILIAR,54,EMPLEADO
974,Judy,Freegard,Thal,FAMILIAR,16,SIN ESPECIFICAR
977,Mercedes,Lawrenson,Cassell,NINGUNO,35,EMPLEADO
978,Mahmoud,Henrys,Lorain,NINGUNO,54,EMPLEADO
985,Woodman,Domonkos,Dioniso,NINGUNO,39,EMPLEADO
991,Zachary,Bortoletti,Giacopini,FAMILIAR,77,EMPLEADO
996,Crystie,Emmott,Pipkin,NINGUNO,68,EMPLEADO
